eid,doi,doi_url,title,source
2-s2.0-84944730050,,,A parametric simulation study on kinetic envelopes,43rd Ases National Solar Conference 2014 Solar 2014 Including the 39th National Passive Solar Conference and the 2nd Meeting of Young and Emerging Professionals in Renewable Energy
2-s2.0-84904627935,,,Analysing and visualizing the moving mechanisms of kinetic architecture,Rethinking Comprehensive Design Speculative Counterculture Proceedings of the 19th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2014
2-s2.0-84889564144,,,Responsive façades: Parametric control of moveable tilings,Pertanika Journal of Science and Technology
2-s2.0-84894123318,,,Bio-inspired adaptive stadium façades,Open Systems Proceedings of the 18th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2013
2-s2.0-84891276408,,,Multifunctional adaptive façade at iba 2013; design studies for an integral energy harvesting façade shading system,Textile Composites and Inflatable Structures Vi Proceedings of the 6th International Conference on Textile Composites and Inflatable Structures Structures Membranes 2013
2-s2.0-84894140792,,,Information storm,Open Systems Proceedings of the 18th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2013
2-s2.0-84891277845,,,Advantages of lightweight tensioned coated fabrics and foils façades for the building sector,Textile Composites and Inflatable Structures Vi Proceedings of the 6th International Conference on Textile Composites and Inflatable Structures Structures Membranes 2013
2-s2.0-84891274736,,,Textile and film based building envelopes - Light weight and adaptive,Textile Composites and Inflatable Structures Vi Proceedings of the 6th International Conference on Textile Composites and Inflatable Structures Structures Membranes 2013
2-s2.0-84891276041,,,Responsive textiles,Textile Composites and Inflatable Structures Vi Proceedings of the 6th International Conference on Textile Composites and Inflatable Structures Structures Membranes 2013
2-s2.0-84886676476,,,Occupant-proof buildings: Can we design buildings that are robust against occupant behaviour?,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association
2-s2.0-84886701395,,,Definition of a reference office for standardized evaluations of dynamic façade and lighting technologies,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association
2-s2.0-84886712908,,,Mechanical cooling energy reduction for commercial buildings in hot climates: Effective use of external solar shading incorporating effects on daylight contribution,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association
2-s2.0-84886643381,,,Ec-co-gen: An evolutionary simulation assisted design tool for energy rating of buildings in early design stage to optimize the building form Philippe Marin,Proceedings of Bs 2013 13th Conference of the International Building Performance Simulation Association
2-s2.0-84884551487,,,Mass-customized net energy-positive housing for the great lakes region,Open House International
2-s2.0-84881185942,,,Application of flexible façade systems in reducing the lateral displacement of concrete frames subjected to seismic loads,From Materials to Structures Advancement Through Innovation Proceedings of the 22nd Australasian Conference on the Mechanics of Structures and Materials Acmsm 2012
2-s2.0-84881176254,,,Dynamic behaviour of flexible facade systems in tall buildings subjected to wind loads,From Materials to Structures Advancement Through Innovation Proceedings of the 22nd Australasian Conference on the Mechanics of Structures and Materials Acmsm 2012
2-s2.0-85138413676,,,An innovative proposal for a deployable shading system,Structures and Architecture New Concepts Applications and Challenges
2-s2.0-84876850882,,,Evaluating the performance robustness of fixed and movable shading devices against diverse occupant behaviors,Simulation Series
2-s2.0-84876865688,,,Simulating nonlinear nano-to-micro scaled material properties and effects at the architectural scale,Simulation Series
2-s2.0-84876820824,,,Choreographic architecture: Inscribing instructions in an auxetic based material system,Simulation Series
2-s2.0-85048220892,,,Energy and daylighting interaction in offices with shading devices,Building Simulation Applications
2-s2.0-85127876385,,,ARCS Architectural Chameleon Skin A swarm-based architectural installation,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84879466311,,,Energy performance of shading devices for thermal and lighting comfort in offices,Building Simulation Applications
