eid,doi,doi_url,title,source
2-s2.0-85006868342,10.1080/00038628.2016.1266991,https://doi.org/10.1080/00038628.2016.1266991,External shading in buildings: comparative analysis of daylighting performance in static and kinetic operation scenarios,Architectural Science Review
2-s2.0-84976864030,10.1080/17452007.2016.1203676,https://doi.org/10.1080/17452007.2016.1203676,"Understanding kinetic architecture: typology, classification, and design strategy",Architectural Engineering and Design Management
2-s2.0-84958538161,10.1080/19401493.2015.1134669,https://doi.org/10.1080/19401493.2015.1134669,Development and verification of the Fraunhofer attic thermal model,Journal of Building Performance Simulation
2-s2.0-84936971957,10.1080/19401493.2015.1058421,https://doi.org/10.1080/19401493.2015.1058421,GlareShade: a visual comfort-based approach to occupant-centric shading systems,Journal of Building Performance Simulation
2-s2.0-84930357742,10.1080/17512549.2015.1040071,https://doi.org/10.1080/17512549.2015.1040071,Adaptation of London's social housing to climate change through retrofit: a holistic evaluation approach,Advances in Building Energy Research
2-s2.0-84954026281,10.1080/17512549.2015.1050694,https://doi.org/10.1080/17512549.2015.1050694,Coupling TRNSYS 17 and CONTAM: Simulation of a naturally ventilated double-skin façade,Advances in Building Energy Research
2-s2.0-84954027964,10.1080/17512549.2015.1014839,https://doi.org/10.1080/17512549.2015.1014839,Multi-criteria energy and daylighting optimization for an office with fixed and moveable shading devices,Advances in Building Energy Research
2-s2.0-84899624067,10.1080/14786451.2013.796943,https://doi.org/10.1080/14786451.2013.796943,A new test cell for the evaluation of thermo-physical performance of facades building components,International Journal of Sustainable Energy
2-s2.0-84870279087,10.1080/10407782.2013.730422,https://doi.org/10.1080/10407782.2013.730422,On-site building walls characterization,Numerical Heat Transfer Part A Applications
2-s2.0-84860799273,10.1080/10789669.2011.615001,https://doi.org/10.1080/10789669.2011.615001,Total energy use in air conditioned buildings: Analysis of main influencing factors,HVAC and R Research
2-s2.0-84855963275,10.1080/15397734.2011.590775,https://doi.org/10.1080/15397734.2011.590775,Design of a 2-DOF 8R linkage for transformable hypar structure,Mechanics Based Design of Structures and Machines
2-s2.0-77957897485,10.1080/09613218.2010.496556,https://doi.org/10.1080/09613218.2010.496556,A simulation of solar shading control on UK office energy use,Building Research and Information
2-s2.0-77952604014,10.1080/19401490903580759,https://doi.org/10.1080/19401490903580759,Adaptive actions on shading devices in response to local visual stimuli,Journal of Building Performance Simulation
2-s2.0-70749085882,10.1080/14733315.2009.11683853,https://doi.org/10.1080/14733315.2009.11683853,Natural ventilation with dynamic Façades,International Journal of Ventilation
2-s2.0-67349234405,10.1080/19401490701868299,https://doi.org/10.1080/19401490701868299,Efficient calculation of daylight coefficients for rooms with dissimilar complex fenestration systems,Journal of Building Performance Simulation
2-s2.0-0036640514,10.1080/09613210210132919,https://doi.org/10.1080/09613210210132919,German developments in daylight guidance systems: An overview,Building Research and Information
2-s2.0-0034437862,10.1080/00039890009603419,https://doi.org/10.1080/00039890009603419,Effect of ventilation systems on prevalence of symptoms associated with “sick buildings” in brazilian commercial establishments,Archives of Environmental Health
2-s2.0-0033874541,10.1080/01430750.2000.9675350,https://doi.org/10.1080/01430750.2000.9675350,Building heating requirement calculation: A critical analysis of the new European standards,International Journal of Ambient Energy
2-s2.0-0034175344,10.1080/002077200291000,https://doi.org/10.1080/002077200291000,The effect of noise on adaptive envelope-constrained filters,International Journal of Systems Science
2-s2.0-5844399231,10.1080/01425919708914330,https://doi.org/10.1080/01425919708914330,Solar control research activities undertaken in the framework of PASCOOL,International Journal of Solar Energy
2-s2.0-0031539248,10.1080/00994480.1997.10748175,https://doi.org/10.1080/00994480.1997.10748175,Developing a dynamic envelope/lighting control system with field measurements,Journal of the Illuminating Engineering Society
